# Tc Rp/Rs a/Rs F0 sigma
3.574660550616386157e-03 1.213456450400125092e-02 3.954416360339185754e+00 9.999925971855258000e-01 5.117175839306724718e-05
4.586886201056600276e-04 1.202570287476340677e-02 3.302049395825799927e+00 1.000005036131213831e+00 3.393047427524005483e-05
4.787539178803798534e-03 1.187926106762363099e-02 4.191112416977156307e+00 9.999960087251469343e-01 4.168796613577482608e-05
6.138672137510466087e-03 1.211991574230975033e-02 3.770519036121483314e+00 1.000014368240700335e+00 4.136455059277433448e-05
4.284054266929147869e-03 1.108528199101272739e-02 3.475085027546994887e+00 9.999913405695615154e-01 3.676980062511140085e-05
1.334485947561921126e-03 1.204942264930352475e-02 3.349757293615759579e+00 9.999996233473689156e-01 3.556112746500580209e-05
6.065935077097080186e-03 1.133281168862760799e-02 3.866042069519534774e+00 9.999925386252688231e-01 4.384997439699553069e-05
3.575356496748061108e-03 1.140966451905536284e-02 3.135820553971439217e+00 1.000005001277320948e+00 4.606339617618355694e-05
-2.507502654393589658e-04 1.130637134421727009e-02 3.395643495786404564e+00 9.999913571869244455e-01 3.546027318577226492e-05
9.605160756218922291e-04 1.107706723648852615e-02 3.394722751148546713e+00 1.000002495105379863e+00 3.538385853850405268e-05
6.556101204304061458e-03 1.161793726995378855e-02 4.037819152563132619e+00 9.999880526360537258e-01 4.252178104057499039e-05
3.450093846151580657e-03 1.210514215810307853e-02 3.732461507432327963e+00 1.000002445648474181e+00 5.255854022758522812e-05
6.027720271395989315e-03 1.192348488123895836e-02 3.574509549326006841e+00 1.000015218493886415e+00 3.342579467733557949e-05
3.883316685880121300e-03 1.205924857043739508e-02 3.607457397262722409e+00 9.999956669683487398e-01 3.288660458946431801e-05
3.488638737385564570e-03 1.171309020090530000e-02 3.736035088398445669e+00 9.999890791884153973e-01 3.116157816847169861e-05
5.278539150311553629e-03 1.187229306971561253e-02 3.858632877813391815e+00 1.000012774087585932e+00 3.449217622989860871e-05
-1.080715976284760821e-03 1.145397855321227468e-02 3.321371480400753029e+00 1.000003203376475192e+00 4.407298394937664147e-05
6.603450674403973930e-03 1.152992935823135556e-02 3.376474349969851740e+00 1.000004784855849094e+00 4.555084706250692465e-05
3.852506433760026494e-03 1.295082117324998158e-02 3.696165687361278263e+00 1.000011278831291595e+00 3.076306792618638725e-05
1.631463913504653529e-03 1.204759013451897273e-02 3.966055038570306390e+00 1.000007092706551193e+00 3.282590468351053088e-05
7.137918241959764765e-03 1.209435174529185572e-02 3.476327094407835716e+00 1.000015482295240732e+00 4.605562647118003852e-05
2.611676511668457878e-03 1.207798122978982237e-02 3.562654614884490201e+00 9.999942222288441540e-01 4.641176861264780499e-05
1.551492586230135418e-03 1.130611972405352189e-02 3.229789807488122833e+00 1.000007024102274489e+00 3.336059414540357712e-05
3.273055345593717247e-03 1.161807511580665447e-02 3.527766016040559727e+00 9.999916721604295011e-01 4.452546961519280715e-05
6.539845352730624950e-03 1.252903619821681830e-02 3.539381786452899359e+00 1.000014692026707008e+00 4.824566456015868290e-05
4.125135545465070941e-03 1.248577751571245537e-02 3.722599283725155583e+00 1.000006300042320717e+00 5.278544226560990079e-05
4.739800868117559352e-03 1.194093991564363147e-02 4.003121040782467333e+00 1.000005397974628396e+00 4.707700319085031095e-05
4.304692376987884206e-03 1.153039862516390922e-02 3.997912322614140201e+00 9.999946144999337649e-01 5.031541999551706538e-05
3.159341070646290439e-03 1.124528913257536941e-02 3.943302192982804044e+00 9.999875866995481255e-01 4.522664356904735499e-05
2.668395370650666898e-03 1.192286820871478817e-02 3.913095994646820230e+00 1.000009642634601459e+00 3.993819893813343232e-05
2.422602954264635455e-03 1.198760060241409880e-02 3.489087612792091342e+00 1.000004624101046513e+00 4.524057303348799099e-05
4.195469909349283655e-03 1.070219567152495312e-02 3.776492255669301912e+00 9.999948973211583159e-01 4.241510034395001345e-05
8.779439261973449871e-03 1.174590452550378777e-02 3.647598078157849422e+00 1.000000132646945428e+00 3.974590940077232408e-05
3.437311767769027360e-03 1.121683064709141919e-02 3.537610620747888568e+00 9.999973273644069405e-01 3.456775900654923754e-05
2.491620040353879906e-03 1.297482484497473887e-02 3.704116063944322246e+00 1.000003910429597687e+00 4.568880673930690920e-05
2.584499655316117861e-03 1.286817363576095441e-02 4.045806711080567553e+00 1.000010884855333293e+00 3.569812298784090222e-05
3.656309732902721099e-03 1.225353659801319342e-02 3.887249483028353936e+00 9.999858218528634435e-01 4.658253406315459661e-05
4.856606411323974304e-03 1.259863901485395662e-02 4.103792131000981058e+00 1.000005658779501649e+00 4.160887886544332407e-05
5.888025518963009575e-03 1.285083975225300920e-02 3.894058725960369394e+00 1.000007686240714122e+00 4.483052212537582190e-05
4.911938833744473876e-03 1.261885663425648708e-02 3.855267259897179333e+00 1.000004204211526471e+00 5.199753629445206778e-05
-6.586295449441947891e-04 1.218467751922275993e-02 3.521753510818481203e+00 1.000012494064865809e+00 4.289045314102935620e-05
6.340091684769129377e-03 1.128265655504507442e-02 3.421081429641128935e+00 9.999899887172539747e-01 3.855560858712125586e-05
7.226771260133470209e-03 1.223010433412799469e-02 3.415913365383245193e+00 1.000010450879759150e+00 4.537133885639864584e-05
5.948234277393410485e-03 1.279113844874335201e-02 3.969781585965206805e+00 1.000007890104925190e+00 3.617435165047538389e-05
2.631402772227703357e-03 1.294339755120938948e-02 3.659135009382115555e+00 1.000016582434005041e+00 4.184082484488938462e-05
1.617281539382481315e-03 1.159502580722443152e-02 3.301928175839953461e+00 1.000005851166039239e+00 4.650348468078709422e-05
6.762563637662102889e-03 1.280437640443373229e-02 3.645202529479758979e+00 9.999988124320619010e-01 3.990720111822637097e-05
1.100651287332030798e-03 1.159748264413316618e-02 3.937721126715185260e+00 9.999960011241532110e-01 4.554967385629940784e-05
3.434778096136473224e-03 1.221129662728685263e-02 3.704272746681892325e+00 9.999906443885372420e-01 4.740231175098938085e-05
-1.035852333098115363e-03 1.221397465562516597e-02 3.433895066131961826e+00 1.000008048375298886e+00 4.821513613819280569e-05
5.322023656949240178e-03 1.242850761748933580e-02 4.036503181197276469e+00 9.999908047772977371e-01 3.733309130166271239e-05
1.471471092909508449e-03 1.237169546803327039e-02 3.702394386603232057e+00 9.999941323955192640e-01 4.491584191881264014e-05
2.402623424848586431e-03 1.260289989871100566e-02 4.046651964175850935e+00 1.000006583510499869e+00 4.759192196230052966e-05
-4.967724246099508578e-04 1.260116338216375753e-02 3.380358602153490821e+00 1.000013682704698148e+00 4.402571361620629444e-05
5.179368594161050388e-03 1.133054735560675742e-02 4.092821090545649021e+00 9.999914814769934601e-01 3.733284795708785472e-05
2.754123676260371301e-03 1.227919508226304329e-02 4.052644774573968434e+00 9.999881421495045997e-01 3.786696705969424534e-05
